Cod_Div,Latitud,Longitud,Región,Departamento,Fecha,Hora,Temperatura,Velocidad del Viento,Dirección del Viento,Presión,Punto de Rocío,Cobertura total nubosa,Precipitación (mm/h),Probabilidad de Tormenta,Humedad,Pronóstico 
68001000,7.116268,-73.132598,,SANTANDER,2022-02-14,16:00,24.1,1.4,287.6,1009.6,20.6,100.0,0.6,0.0,81.0,Nublado - Lluvia
68001000,7.116268,-73.132598,,SANTANDER,2022-02-14,17:00,23.2,1.0,312.8,1010.2,21.2,100.0,0.5,0.0,88.3,Nublado - Llovizna
68001000,7.116268,-73.132598,,SANTANDER,2022-02-14,18:00,21.7,1.0,348.8,1011.2,20.5,92.0,0.0,0.0,93.1,Nublado
68001000,7.116268,-73.132598,,SANTANDER,2022-02-14,19:00,20.9,1.5,18.3,1012.2,19.8,80.0,0.0,0.0,93.6,Nublado
68001000,7.116268,-73.132598,,SANTANDER,2022-02-14,20:00,20.6,1.3,81.6,1013.1,19.1,39.6,0.0,0.0,91.3,Parcialmente Nublado
68001000,7.116268,-73.132598,,SANTANDER,2022-02-14,21:00,20.5,1.6,98.0,1013.7,18.5,100.0,0.0,0.0,88.6,Nublado
68001000,7.116268,-73.132598,,SANTANDER,2022-02-14,22:00,20.2,1.6,109.2,1014.4,18.1,100.0,0.0,0.0,87.6,Nublado
68001000,7.116268,-73.132598,,SANTANDER,2022-02-14,23:00,20.1,1.5,101.2,1014.3,17.8,100.0,0.0,0.0,86.7,Nublado
68001000,7.116268,-73.132598,,SANTANDER,2022-02-15,00:00,19.8,1.8,100.0,1014.0,17.4,100.0,0.0,0.0,86.1,Nublado
68001000,7.116268,-73.132598,,SANTANDER,2022-02-15,01:00,19.6,1.9,100.0,1013.4,17.1,100.0,0.0,0.0,85.3,Nublado
68001000,7.116268,-73.132598,,SANTANDER,2022-02-15,02:00,19.4,1.7,101.6,1013.0,16.8,100.0,0.0,0.0,84.9,Nublado
68001000,7.116268,-73.132598,,SANTANDER,2022-02-15,03:00,19.2,1.7,100.0,1012.6,16.7,100.0,0.0,0.0,85.3,Nublado
68001000,7.116268,-73.132598,,SANTANDER,2022-02-15,04:00,18.9,1.7,101.6,1012.8,16.4,100.0,0.0,0.0,85.2,Nublado
68001000,7.116268,-73.132598,,SANTANDER,2022-02-15,05:00,18.7,1.8,111.2,1013.4,16.1,100.0,0.0,0.0,84.9,Nublado
68001000,7.116268,-73.132598,,SANTANDER,2022-02-15,06:00,18.5,1.8,108.0,1014.1,15.8,92.4,0.0,0.0,84.4,Nublado
68001000,7.116268,-73.132598,,SANTANDER,2022-02-15,07:00,19.7,1.6,100.0,1014.7,16.6,100.0,0.0,0.0,82.5,Nublado
68001000,7.116268,-73.132598,,SANTANDER,2022-02-15,08:00,22.2,0.6,156.4,1014.8,17.6,100.0,0.0,0.0,75.2,Nublado
68001000,7.116268,-73.132598,,SANTANDER,2022-02-15,09:00,23.7,1.0,270.0,1015.1,18.3,83.6,0.0,0.0,72.1,Nublado
68001000,7.116268,-73.132598,,SANTANDER,2022-02-15,10:00,24.8,1.9,281.6,1014.7,18.3,100.0,0.0,0.0,67.3,Nublado
68001000,7.116268,-73.132598,,SANTANDER,2022-02-15,11:00,25.6,2.5,288.0,1013.8,18.8,100.0,0.1,0.0,66.1,Nublado - Llovizna
68001000,7.116268,-73.132598,,SANTANDER,2022-02-15,12:00,25.8,2.7,288.0,1012.7,19.3,100.0,0.4,0.0,67.3,Nublado - Llovizna
68001000,7.116268,-73.132598,,SANTANDER,2022-02-15,13:00,25.5,2.7,288.0,1011.6,19.6,100.0,0.6,0.0,69.8,Nublado - Lluvia
68001000,7.116268,-73.132598,,SANTANDER,2022-02-15,14:00,25.1,2.2,290.0,1010.6,20.0,100.0,0.4,0.0,73.5,Nublado - Llovizna
68001000,7.116268,-73.132598,,SANTANDER,2022-02-15,15:00,24.8,1.6,310.0,1010.0,20.7,100.0,0.3,0.0,77.8,Nublado - Llovizna
68001000,7.116268,-73.132598,,SANTANDER,2022-02-15,16:00,24.4,1.2,323.6,1009.8,20.9,100.0,0.0,0.0,80.8,Nublado
68001000,7.116268,-73.132598,,SANTANDER,2022-02-15,17:00,23.7,0.9,334.0,1010.0,21.1,100.0,0.0,0.0,85.3,Nublado
68001000,7.116268,-73.132598,,SANTANDER,2022-02-15,18:00,22.0,0.9,357.4,1010.9,20.5,100.0,0.0,0.0,91.6,Nublado
68001000,7.116268,-73.132598,,SANTANDER,2022-02-15,19:00,17.9,1.1,71.6,1012.1,16.6,100.0,0.0,0.0,92.2,Nublado
68001000,7.116268,-73.132598,,SANTANDER,2022-02-15,20:00,17.4,1.3,91.6,1012.9,15.8,100.0,0.0,0.0,90.5,Nublado
68001000,7.116268,-73.132598,,SANTANDER,2022-02-15,21:00,17.0,1.5,92.8,1013.6,15.2,100.0,0.0,0.0,88.8,Nublado
68001000,7.116268,-73.132598,,SANTANDER,2022-02-15,22:00,16.7,1.7,101.6,1014.1,14.5,100.0,0.0,0.0,87.1,Nublado
68001000,7.116268,-73.132598,,SANTANDER,2022-02-15,23:00,16.3,1.9,101.6,1014.2,13.9,96.4,0.5,0.0,85.6,Nublado - Llovizna
68001000,7.116268,-73.132598,,SANTANDER,2022-02-16,00:00,15.9,2.1,100.0,1014.0,13.2,100.0,0.9,0.0,84.1,Nublado - Lluvia
68001000,7.116268,-73.132598,,SANTANDER,2022-02-16,01:00,15.5,2.1,101.2,1013.7,12.6,100.0,1.5,30.0,83.1,Nublado - Tormenta Ligera
68001000,7.116268,-73.132598,,SANTANDER,2022-02-16,02:00,15.4,2.2,101.6,1012.9,12.2,96.4,1.5,30.0,81.4,Nublado - Tormenta Ligera
68001000,7.116268,-73.132598,,SANTANDER,2022-02-16,03:00,15.1,2.3,101.2,1012.9,11.6,90.0,1.4,0.0,80.0,Nublado - Lluvia
68001000,7.116268,-73.132598,,SANTANDER,2022-02-16,04:00,14.8,2.4,108.0,1013.1,11.2,90.0,1.4,0.0,78.7,Nublado - Lluvia
68001000,7.116268,-73.132598,,SANTANDER,2022-02-16,05:00,14.6,2.4,108.0,1013.7,10.8,90.0,1.0,0.0,78.0,Nublado - Lluvia
68001000,7.116268,-73.132598,,SANTANDER,2022-02-16,06:00,14.5,2.4,101.2,1014.6,10.6,90.0,0.5,0.0,77.2,Nublado - Llovizna
68001000,7.116268,-73.132598,,SANTANDER,2022-02-16,07:00,15.6,2.2,108.0,1015.3,11.3,90.0,0.0,0.0,75.9,Nublado
68001000,7.116268,-73.132598,,SANTANDER,2022-02-16,08:00,19.2,0.8,146.4,1015.2,12.3,30.8,0.0,0.0,64.0,Parcialmente Nublado
68001000,7.116268,-73.132598,,SANTANDER,2022-02-16,09:00,21.2,1.0,271.2,1015.4,11.4,32.8,0.0,0.0,53.8,Parcialmente Nublado
68001000,7.116268,-73.132598,,SANTANDER,2022-02-16,10:00,22.7,2.2,281.6,1014.9,12.6,22.4,0.0,0.0,52.9,Despejado
68001000,7.116268,-73.132598,,SANTANDER,2022-02-16,11:00,23.6,2.8,291.2,1014.1,13.6,40.0,0.0,0.0,53.4,Parcialmente Nublado
68001000,7.116268,-73.132598,,SANTANDER,2022-02-16,12:00,24.2,3.0,281.6,1012.9,14.4,40.0,0.0,0.0,54.4,Parcialmente Nublado
68001000,7.116268,-73.132598,,SANTANDER,2022-02-16,13:00,24.5,3.1,281.6,1011.9,15.1,50.0,0.0,0.0,56.1,Parcialmente Nublado
68001000,7.116268,-73.132598,,SANTANDER,2022-02-16,14:00,24.2,2.6,291.2,1010.9,15.7,48.0,0.0,0.0,59.1,Parcialmente Nublado
68001000,7.116268,-73.132598,,SANTANDER,2022-02-16,15:00,23.7,2.1,300.0,1010.2,16.1,46.0,0.0,0.0,62.5,Parcialmente Nublado
68001000,7.116268,-73.132598,,SANTANDER,2022-02-16,16:00,22.7,1.7,300.0,1010.1,16.3,58.4,0.0,0.0,67.5,Parcialmente Nublado
68001000,7.116268,-73.132598,,SANTANDER,2022-02-16,17:00,21.5,1.3,300.0,1010.7,17.0,68.4,0.0,0.0,75.6,Parcialmente Nublado
68001000,7.116268,-73.132598,,SANTANDER,2022-02-16,18:00,19.0,0.8,327.6,1011.7,16.5,70.0,0.0,0.0,85.4,Parcialmente Nublado
68001000,7.116268,-73.132598,,SANTANDER,2022-02-16,19:00,18.0,1.4,92.8,1012.6,15.6,79.6,0.0,0.0,86.2,Nublado
68001000,7.116268,-73.132598,,SANTANDER,2022-02-16,20:00,17.3,2.0,101.2,1013.5,15.1,54.0,0.0,0.0,87.1,Parcialmente Nublado
68001000,7.116268,-73.132598,,SANTANDER,2022-02-16,21:00,16.9,2.4,109.2,1014.5,14.4,54.0,0.0,0.0,85.0,Parcialmente Nublado
68001000,7.116268,-73.132598,,SANTANDER,2022-02-16,22:00,16.5,2.6,108.0,1015.2,13.6,57.6,0.0,0.0,83.3,Parcialmente Nublado
68001000,7.116268,-73.132598,,SANTANDER,2022-02-16,23:00,16.1,2.6,101.2,1015.3,12.9,64.0,0.0,0.0,81.3,Parcialmente Nublado
68001000,7.116268,-73.132598,,SANTANDER,2022-02-17,00:00,15.7,2.6,101.6,1015.1,12.3,67.2,0.0,0.0,79.8,Parcialmente Nublado
68001000,7.116268,-73.132598,,SANTANDER,2022-02-17,01:00,15.5,2.8,108.0,1014.3,11.7,67.2,0.0,0.0,78.1,Parcialmente Nublado
68001000,7.116268,-73.132598,,SANTANDER,2022-02-17,02:00,15.2,2.9,101.2,1013.7,11.1,79.6,0.0,0.0,76.6,Nublado
68001000,7.116268,-73.132598,,SANTANDER,2022-02-17,03:00,15.1,2.9,101.6,1013.6,11.4,100.0,0.0,0.0,78.5,Nublado
68001000,7.116268,-73.132598,,SANTANDER,2022-02-17,04:00,15.1,2.9,101.2,1013.8,11.2,89.6,0.0,0.0,77.4,Nublado
68001000,7.116268,-73.132598,,SANTANDER,2022-02-17,05:00,15.0,2.8,101.6,1014.1,10.9,89.6,0.0,0.0,76.7,Nublado
68001000,7.116268,-73.132598,,SANTANDER,2022-02-17,06:00,14.9,3.0,101.2,1014.7,10.8,89.6,0.0,0.0,76.6,Nublado
68001000,7.116268,-73.132598,,SANTANDER,2022-02-17,07:00,16.1,2.7,101.6,1015.1,11.7,79.6,0.0,0.0,75.4,Nublado
68001000,7.116268,-73.132598,,SANTANDER,2022-02-17,08:00,19.5,1.0,128.0,1014.7,12.4,46.0,0.0,0.0,63.6,Parcialmente Nublado
68001000,7.116268,-73.132598,,SANTANDER,2022-02-17,09:00,21.3,0.9,267.6,1014.9,12.1,68.4,0.0,0.0,55.7,Parcialmente Nublado
68001000,7.116268,-73.132598,,SANTANDER,2022-02-17,10:00,22.7,1.8,281.2,1014.6,13.1,78.4,0.0,0.0,54.6,Nublado
68001000,7.116268,-73.132598,,SANTANDER,2022-02-17,11:00,23.4,2.5,291.2,1013.6,13.8,82.0,0.0,0.0,54.9,Nublado
68001000,7.116268,-73.132598,,SANTANDER,2022-02-17,12:00,23.9,2.9,291.6,1012.4,14.7,88.4,0.0,0.0,56.4,Nublado
68001000,7.116268,-73.132598,,SANTANDER,2022-02-17,13:00,24.1,3.0,291.6,1011.2,15.6,88.4,0.0,0.0,58.9,Nublado
68001000,7.116268,-73.132598,,SANTANDER,2022-02-17,14:00,23.9,3.0,291.6,1010.2,16.1,100.0,0.3,0.0,61.7,Nublado - Llovizna
68001000,7.116268,-73.132598,,SANTANDER,2022-02-17,15:00,23.3,2.7,291.2,1009.5,16.3,100.0,0.5,0.0,64.8,Nublado - Llovizna
68001000,7.116268,-73.132598,,SANTANDER,2022-02-17,16:00,22.9,2.2,291.2,1009.2,16.5,60.0,0.8,0.0,67.1,Parcialmente Nublado - Lluvia Fuerte
68001000,7.116268,-73.132598,,SANTANDER,2022-02-17,17:00,21.9,1.6,300.0,1009.6,17.0,58.4,0.5,0.0,73.7,Parcialmente Nublado - Llovizna
68001000,7.116268,-73.132598,,SANTANDER,2022-02-17,18:00,19.3,1.1,320.8,1010.5,16.5,58.4,0.3,0.0,84.1,Parcialmente Nublado - Llovizna
68001000,7.116268,-73.132598,,SANTANDER,2022-02-17,19:00,18.2,1.5,101.9,1011.6,15.9,58.4,0.3,0.0,86.2,Parcialmente Nublado - Llovizna
68001000,7.116268,-73.132598,,SANTANDER,2022-02-17,20:00,17.9,1.7,101.2,1012.4,15.3,78.0,0.0,0.0,84.9,Nublado
68001000,7.116268,-73.132598,,SANTANDER,2022-02-17,21:00,17.8,1.8,101.6,1013.3,15.0,70.0,0.0,0.0,83.7,Parcialmente Nublado
68001000,7.116268,-73.132598,,SANTANDER,2022-02-17,22:00,17.5,1.9,108.0,1013.6,14.6,80.0,0.1,0.0,82.9,Nublado - Llovizna
68001000,7.116268,-73.132598,,SANTANDER,2022-02-17,23:00,17.2,2.0,101.2,1013.4,14.4,100.0,0.1,0.0,83.6,Nublado - Llovizna
68001000,7.116268,-73.132598,,SANTANDER,2022-02-18,00:00,17.1,1.8,101.6,1013.0,14.2,100.0,0.1,0.0,82.8,Nublado - Llovizna
68001000,7.116268,-73.132598,,SANTANDER,2022-02-18,01:00,16.9,1.7,108.0,1012.5,14.0,100.0,0.1,0.0,82.9,Nublado - Llovizna
